ticket_id,user_id,issue_type,description,status,created_at,resolved_hours,satisfaction
T001,U001,登录问题,用户反馈登录失败，验证码无法接收,已解决,2026-05-01,2,5
T002,U002,支付问题,用户支付成功但订单状态未更新,已解决,2026-05-02,5,4
T003,U003,登录问题,用户忘记密码，无法重置,未解决,2026-05-03,0,2
T004,U004,性能问题,页面加载速度很慢,已解决,2026-05-04,8,3
T005,U005,支付问题,重复扣款，需要退款,未解决,2026-05-05,0,1
T006,U006,资料问题,用户上传文件失败,已解决,2026-05-06,3,4
T007,U007,登录问题,账号被锁定，无法登录,处理中,2026-05-07,0,3
T008,U008,性能问题,搜索接口响应慢,已解决,2026-05-08,6,3
T009,U009,支付问题,优惠券无法使用,处理中,2026-05-09,0,2
T010,U010,资料问题,知识库文档解析失败,未解决,2026-05-10,0,2
T011,U011,知识库问题,RAG问答返回内容没有参考来源,处理中,2026-05-11,0,2
T012,U012,性能问题,向量检索接口响应时间过长,未解决,2026-05-12,0,1
